inicio,varinicio,varfim,PT_V,ID,VIR,inteiro,real,literal,leia,escreva,LIT,NUM,ATR,OPA,se,AB_P,FC_P,entao,OPR,fimse,fim,EOF,P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP
E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.31,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.31,R.31,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.31,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.31,R.31,E-ID-leia-escreva-se-fimse-fim,,,,,,,,,,,,,,,,
E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.28,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.28,R.28,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.28,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.28,R.28,E-ID-leia-escreva-se-fimse-fim,,,,,,,,,,,,,,,,
E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.29,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.29,R.29,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.29,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.29,R.29,E-ID-leia-escreva-se-fimse-fim,,,,,,,,,,,,,,,,
E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.30,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.30,R.30,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.30,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,E-ID-leia-escreva-se-fimse-fim,R.30,R.30,E-ID-leia-escreva-se-fimse-fim,,,,,,,,,,,,,,,,
E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,R.22,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,R.22,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,R.22,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,R.22,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,,,,,,,,,,,,,,,,
E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,R.23,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,R.23,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,R.23,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,R.23,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,E-Ponto e virgula-Operador aritimetico-Fecha parenteses-Opr relacional,,,,,,,,,,,,,,,,
E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,S.43,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,E-Fecha Parenteses,,,,,,,,,,,,,,,,
E-Operador relacional,E-Operador relacional,E-Operador relacional,E-Operador relacional,E-Operador relacional,E-Operador relacional,E-Operador relacional,E-Operador relacional,E-Operador relacional,E-Operador relacional,E-Operador relacional,E-Operador relacional,E-Operador relacional,E-Operador relacional,E-Operador relacional,E-Operador relacional,E-Operador relacional,E-Operador relacional,E-Operador relacional,S.45,E-Operador relacional,E-Operador relacional,E-Operador relacional,,,,,,,,,,,,,,,,
E-entao,E-entao,E-entao,E-entao,E-entao,E-entao,E-entao,E-entao,E-entao,E-entao,E-entao,E-entao,E-entao,E-entao,E-entao,E-entao,E-entao,E-entao,S.44,E-entao,E-entao,E-entao,E-entao,,,,,,,,,,,,,,,,
E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,R.26,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,R.26,R.26,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,R.26,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,R.26,E-ID-leia-escreva-se-fimse,E-ID-leia-escreva-se-fimse,,,,,,,,,,,,,,,,
